 VTG,"Id, V_D = 0.1","Id, V_D = 0.4","Id, V_D = 0.7","Id, V_D = 1.0","Itg, V_D = 0.1","Ibg, V_D = 0.1", Vbg
-1.325,1.125e-09,2.5481e-09,3.1584e-09,3.2607e-09,-3.2400000000000007e-12,-6.000000000000001e-14,1
-1.31,1.1604e-09,2.6753e-09,3.2645e-09,3.3381e-09,7.700000000000001e-13,5.7e-13,1
-1.2950000000000002,1.1912e-09,2.7484e-09,3.2835e-09,3.4241e-09,-1.79e-12,1.8400000000000002e-12,1
-1.28,1.2444e-09,2.7644e-09,3.3278e-09,3.5184999999999998e-09,-5.7e-13,2.6500000000000002e-12,1
-1.265,1.2803e-09,2.838e-09,3.4671e-09,3.6836e-09,-9.5e-13,4.88e-12,1
-1.25,1.2989e-09,2.9481e-09,3.5141e-09,3.6569e-09,-8.600000000000001e-13,1.3400000000000003e-12,1
-1.235,1.2996e-09,3.1189e-09,3.6275e-09,3.7493e-09,3.0000000000000005e-14,9.600000000000002e-13,1
-1.22,1.3721e-09,3.1424e-09,3.7115e-09,3.9155e-09,-3.66e-12,-1.21e-12,1
-1.205,1.4044e-09,3.2676999999999998e-09,3.8046e-09,3.9914e-09,8.300000000000001e-13,1e-12,1
-1.19,1.4581e-09,3.277e-09,3.9271e-09,4.0345e-09,-1.4e-12,1.8900000000000002e-12,1
-1.175,1.4677e-09,3.4194e-09,4.0638999999999996e-09,4.1259e-09,-4.9e-13,2e-12,1
-1.16,1.5453e-09,3.5456e-09,4.1165e-09,4.2605e-09,-1.02e-12,3.48e-12,1
-1.145,1.5475e-09,3.5394e-09,4.2221e-09,4.3415e-09,-1.14e-12,-2.2000000000000002e-13,1
-1.13,1.6033e-09,3.6788e-09,4.295e-09,4.5648e-09,4.9e-13,2.8e-13,1
-1.115,1.6592e-09,3.8451e-09,4.4699e-09,4.7363e-09,-3.1400000000000004e-12,-1.5000000000000004e-13,1
-1.1,1.7128e-09,3.9235e-09,4.5808e-09,4.872e-09,5.500000000000001e-13,2.14e-12,1
-1.085,1.7729e-09,4.0089e-09,4.7218999999999996e-09,5.0445e-09,-1.2500000000000001e-12,2.24e-12,1
-1.07,1.8393e-09,4.1542e-09,4.7902e-09,5.0485e-09,-1.8000000000000004e-13,1.5800000000000001e-12,1
-1.0550000000000002,1.9119e-09,4.3228e-09,5.053e-09,5.2171e-09,-8.9e-13,4.28e-12,1
-1.04,1.9816e-09,4.4701e-09,5.2641e-09,5.4456e-09,-1.08e-12,-1.4e-13,1
-1.025,2.0358e-09,4.4527e-09,5.4357e-09,5.5549e-09,7.800000000000002e-13,1e-12,1
-1.01,2.0876e-09,4.5809e-09,5.5362e-09,5.7484e-09,-3.02e-12,-6.700000000000002e-13,1
-0.995,2.1354e-09,4.7686e-09,5.6367e-09,5.9223e-09,2.5e-13,9.200000000000001e-13,1
-0.98,2.2862e-09,4.818e-09,5.7457e-09,6.1191e-09,-1.5200000000000002e-12,2.52e-12,1
-0.965,2.3025e-09,5.0818e-09,5.953e-09,6.3138e-09,1.4e-13,2.13e-12,1
-0.95,2.3539e-09,5.2106e-09,6.1079e-09,6.5636e-09,-1e-12,4.89e-12,1
-0.935,2.4226e-09,5.3971e-09,6.3953e-09,6.701e-09,-1.2900000000000002e-12,-3.900000000000001e-13,1
-0.92,2.4946e-09,5.5906e-09,6.6134e-09,7.0614e-09,7.3e-13,2.2000000000000002e-13,1
-0.905,2.6089e-09,5.7679e-09,6.9077e-09,7.2312e-09,-3.4200000000000004e-12,-8.300000000000001e-13,1
-0.89,2.6688e-09,5.8935e-09,7.0909e-09,7.5055e-09,6.500000000000002e-13,1.2800000000000002e-12,1
-0.875,2.7646e-09,6.0716e-09,7.187e-09,7.6389e-09,-7e-13,3.48e-12,1
-0.86,2.87e-09,6.3671e-09,7.5186e-09,8.065e-09,1.6000000000000005e-13,2.03e-12,1
-0.845,2.9811e-09,6.5203e-09,7.7034e-09,8.2769e-09,-6.8e-13,4.610000000000001e-12,1
-0.83,3.1091e-09,6.6337e-09,7.953e-09,8.4928e-09,-1.7200000000000001e-12,-1.7e-13,1
-0.815,3.1415e-09,6.9199e-09,8.0742e-09,8.7554e-09,8.100000000000001e-13,5.1e-13,1
-0.8,3.2501e-09,7.1809e-09,8.3424e-09,9.0468e-09,-3.53e-12,-7.800000000000002e-13,1
-0.785,3.3551e-09,7.4798e-09,8.7132e-09,9.1016e-09,8.600000000000001e-13,8.300000000000001e-13,1
-0.77,3.45e-09,7.5985e-09,8.9348e-09,9.731999999999999e-09,-8.100000000000001e-13,2.72e-12,1
-0.755,3.5582e-09,7.9595e-09,9.2973e-09,1.00872e-08,3.600000000000001e-13,2.4300000000000003e-12,1
-0.74,3.6344e-09,8.0435e-09,9.5595e-09,1.0198799999999998e-08,-8.800000000000002e-13,4.5900000000000004e-12,1
-0.725,3.7592e-09,8.3088e-09,9.5942e-09,1.05704e-08,-1.8200000000000003e-12,3.900000000000001e-13,1
-0.71,3.8757e-09,8.6907e-09,1.03264e-08,1.08816e-08,6.3e-13,-2.8e-13,1
-0.695,4.0938e-09,8.9392e-09,1.06354e-08,1.13352e-08,-3.1400000000000004e-12,-1.98e-12,1
-0.68,4.2237e-09,9.2652e-09,1.08528e-08,1.16376e-08,9.600000000000002e-13,1.4700000000000002e-12,1
-0.665,4.3488e-09,9.3898e-09,1.14186e-08,1.1909e-08,-5.2e-13,3.2900000000000007e-12,1
-0.65,4.4461e-09,9.996999999999997e-09,1.1641799999999998e-08,1.21696e-08,5.9e-13,2.2200000000000002e-12,1
-0.635,4.6328e-09,1.0179e-08,1.20306e-08,1.27278e-08,-5.4e-13,3.8e-12,1
-0.62,4.775e-09,1.0694799999999998e-08,1.24802e-08,1.2857999999999998e-08,-2.54e-12,-3.1000000000000004e-13,1
-0.605,5.0242e-09,1.10146e-08,1.28366e-08,1.35814e-08,4.7e-13,-1.4700000000000002e-12,1
-0.59,5.2442e-09,1.1455599999999998e-08,1.32704e-08,1.3943799999999998e-08,-3.0800000000000002e-12,-1.4700000000000002e-12,1
-0.575,5.4425e-09,1.17014e-08,1.38456e-08,1.4415599999999998e-08,8.300000000000001e-13,1.8000000000000002e-12,1
-0.56,5.5724e-09,1.21658e-08,1.43766e-08,1.4776399999999998e-08,3.0000000000000005e-14,3.3900000000000007e-12,1
-0.545,5.9454e-09,1.2347799999999998e-08,1.45198e-08,1.5386199999999997e-08,7.700000000000001e-13,2.5300000000000003e-12,1
-0.53,6.0379e-09,1.3066e-08,1.5209199999999998e-08,1.60778e-08,-6.8e-13,3.48e-12,1
-0.515,6.3879e-09,1.3234799999999998e-08,1.55452e-08,1.6536e-08,-2.23e-12,-6.3e-13,1
-0.5,6.4388e-09,1.40308e-08,1.63578e-08,1.71816e-08,3.000000000000001e-13,-1.3500000000000001e-12,1
-0.485,6.7273e-09,1.4431999999999998e-08,1.64202e-08,1.75122e-08,-3.2200000000000004e-12,-1.7100000000000002e-12,1
-0.47,6.8784e-09,1.46474e-08,1.72904e-08,1.81878e-08,1.17e-12,1.8100000000000002e-12,1
-0.455,7.1431e-09,1.5391599999999998e-08,1.8147e-08,1.8584e-08,7.100000000000001e-13,4.18e-12,1
-0.44,7.4117e-09,1.58486e-08,1.8722e-08,1.95668e-08,8.500000000000002e-13,2.0500000000000004e-12,1
-0.425,7.6395e-09,1.66632e-08,1.8929e-08,2.01088e-08,-7.100000000000001e-13,3.9800000000000004e-12,1
-0.41,7.9946e-09,1.7165e-08,1.97072e-08,2.07366e-08,-2.8900000000000004e-12,-1.14e-12,1
-0.395,8.1914e-09,1.7520799999999998e-08,2.03642e-08,2.12792e-08,5e-14,-1.4e-12,1
-0.38,8.5846e-09,1.80606e-08,2.10266e-08,2.2211e-08,-2.8600000000000003e-12,-1.6600000000000002e-12,1
-0.365,8.7093e-09,1.8427e-08,2.16562e-08,2.29306e-08,1.7500000000000002e-12,1.7200000000000001e-12,1
-0.35,8.8955e-09,1.96194e-08,2.24392e-08,2.38278e-08,6.700000000000002e-13,5.48e-12,1
-0.335,9.292e-09,2.00854e-08,2.29734e-08,2.47208e-08,1.04e-12,2.9400000000000004e-12,1
-0.32,9.3882e-09,2.06442e-08,2.40908e-08,2.55762e-08,-4.3000000000000004e-13,3.5900000000000007e-12,1
-0.305,9.8532e-09,2.14708e-08,2.4911e-08,2.63896e-08,1.4200000000000002e-12,2.04e-12,1
-0.29,1.02518e-08,2.22214e-08,2.5477e-08,2.74666e-08,-2.85e-12,-1.4e-12,1
-0.275,1.0803e-08,2.27004e-08,2.64242e-08,2.82814e-08,2.8e-13,6.490000000000001e-12,1
-0.26,1.1185199999999998e-08,2.34284e-08,2.701e-08,2.9121e-08,5.7e-13,-1.8200000000000003e-12,1
-0.245,1.14736e-08,2.4019e-08,2.8154e-08,3.01502e-08,1.98e-12,2.6300000000000007e-12,1
-0.23,1.18732e-08,2.47058e-08,2.93068e-08,3.13284e-08,-3.87e-12,-1.79e-12,1
-0.215,1.2299399999999998e-08,2.59346e-08,3.06044e-08,3.20338e-08,7.600000000000002e-13,3.75e-12,1
-0.2,1.2819e-08,2.67474e-08,3.09586e-08,3.36644e-08,-4.4000000000000004e-13,-1.3e-13,1
-0.185,1.30968e-08,2.78532e-08,3.22886e-08,3.47208e-08,1.3800000000000002e-12,1.83e-12,1
-0.17,1.35838e-08,2.86208e-08,3.34004e-08,3.5645e-08,-1e-12,3.000000000000001e-13,1
-0.155,1.41276e-08,2.94058e-08,3.43202e-08,3.65624e-08,-1.6e-12,-6.500000000000002e-13,1
-0.14,1.45622e-08,2.99938e-08,3.52048e-08,3.80866e-08,-4.1e-13,4.08e-12,1
-0.125,1.4979799999999998e-08,3.12266e-08,3.6415999999999993e-08,3.8683e-08,8e-13,-9.3e-13,1
-0.11,1.5410199999999998e-08,3.2308999999999995e-08,3.7882e-08,4.02798e-08,1.3400000000000003e-12,3.1100000000000007e-12,1
-0.095,1.5970799999999997e-08,3.3614e-08,3.92452e-08,4.19202e-08,-4.32e-12,-2.41e-12,1
-0.08,1.6308199999999997e-08,3.4618999999999994e-08,4.0535e-08,4.327519999999999e-08,1e-12,4.810000000000001e-12,1
-0.065,1.6961399999999997e-08,3.5867999999999994e-08,4.1554e-08,4.53264e-08,4.0000000000000006e-14,-1.04e-12,1
-0.05,1.74332e-08,3.67036e-08,4.248499999999999e-08,4.65184e-08,1.4400000000000001e-12,2.87e-12,1
-0.035,1.78226e-08,3.7905e-08,4.36298e-08,4.77478e-08,-2.3200000000000002e-12,-7.900000000000001e-13,1
-0.02,1.82576e-08,3.91818e-08,4.532319999999999e-08,4.952e-08,-4.600000000000002e-13,1.3300000000000002e-12,1
-0.005,1.89502e-08,4.05394e-08,4.65846e-08,5.03308e-08,-4.500000000000001e-13,2.39e-12,1
0.01,1.93978e-08,4.10226e-08,4.7932e-08,5.20344e-08,1.4e-12,3.1000000000000004e-13,1
0.025,1.9668e-08,4.22224e-08,4.9048e-08,5.382239999999999e-08,7.3e-13,2.44e-12,1
0.04,2.06402e-08,4.35372e-08,5.11208e-08,5.474759999999999e-08,-3.4400000000000007e-12,-2.2500000000000003e-12,1
0.055,2.11952e-08,4.49576e-08,5.235139999999999e-08,5.6564e-08,1.0600000000000001e-12,5.420000000000001e-12,1
0.07,2.14484e-08,4.6310199999999993e-08,5.318799999999999e-08,5.84448e-08,3.7000000000000004e-13,-1.74e-12,1
0.085,2.19828e-08,4.72292e-08,5.446439999999999e-08,5.99014e-08,1.32e-12,3.3900000000000007e-12,1
0.1,2.26782e-08,4.84368e-08,5.63042e-08,6.230819999999999e-08,-3.0600000000000007e-12,-1.4700000000000002e-12,1
